
# Capture run: 12-00 19:35:56
frame,frame_time_ms,shading_ms,post_ms
185,0.020783,1.947424,0.057408
186,0.027827,1.906224,0.055188
187,0.020810,1.801656,0.060980
188,0.014125,1.806828,0.054776
189,0.021151,1.854132,0.054840
190,0.027120,1.871772,0.056904
191,0.020584,1.901892,0.056492
192,0.020926,1.860452,0.055612
193,0.021063,1.891156,0.054512
194,0.020906,1.955272,0.057432
195,0.020927,1.957716,0.058400
196,0.020461,1.930748,0.055796
197,0.021465,1.939916,0.065868
198,0.027582,1.880828,0.054516
199,0.020621,1.852260,0.056624
200,0.014185,1.792432,0.056784
201,0.020654,1.812364,0.058880
202,0.020620,1.760300,0.060236
203,0.020591,1.862176,0.056460
204,0.028114,1.939012,0.055424
205,0.020796,1.904260,0.067116
206,0.021081,1.945892,0.055364
207,0.020809,1.938252,0.057588
208,0.020408,1.844564,0.055832
209,0.021198,1.809036,0.059496
210,0.020818,1.859056,0.054848
211,0.021124,1.902608,0.055520
212,0.020486,1.855284,0.055852
213,0.020834,1.880116,0.054168
214,0.020702,1.916624,0.056108
215,0.027851,1.935692,0.058380
216,0.020891,1.896188,0.055304
217,0.020845,1.908044,0.055200
218,0.020503,1.957364,0.055340
219,0.021165,1.959536,0.057824
220,0.020896,1.912328,0.054596
221,0.020877,1.896216,0.058104
222,0.020321,1.822200,0.056404
223,0.021399,1.859136,0.054356
224,0.020922,1.919696,0.056528
225,0.027672,1.952288,0.069752
226,0.020977,1.972256,0.059636
227,0.021047,1.960236,0.058136
228,0.020205,1.896016,0.055412
229,0.021086,1.840712,0.060200
230,0.020752,1.797768,0.053716
231,0.021371,1.856096,0.055440
232,0.020276,1.923368,0.057832
233,0.020763,1.880372,0.059380
234,0.020836,1.879876,0.057808
235,0.021469,1.906284,0.054992
236,0.027300,1.854776,0.061300
237,0.020950,1.849020,0.055164
238,0.020609,1.882164,0.054892
239,0.020872,1.934852,0.055324
240,0.020804,1.915288,0.057984
241,0.021037,1.875904,0.056428
242,0.020720,1.888596,0.065828
243,0.020462,1.902552,0.057308
244,0.020972,1.938620,0.055960
245,0.027575,1.997904,0.054612
246,0.021277,1.989056,0.056008
247,0.020816,1.980444,0.058284
248,0.020604,1.968748,0.062684
249,0.020964,1.896300,0.055596
250,0.020609,1.876016,0.064104
251,0.021295,1.858112,0.055224
252,0.020787,1.914128,0.062568
253,0.027808,1.898848,0.060692
254,0.020877,1.818076,0.065036
255,0.020882,1.809296,0.054576
256,0.013880,1.771948,0.059472
257,0.027804,1.823536,0.059964
258,0.013989,1.826388,0.054200
259,0.027184,1.875016,0.055556
260,0.021413,1.872768,0.054392
261,0.020518,1.978636,0.055276
